pr,Year,Month,Country
44.3851,1901,1,ARG
49.8212,1901,2,ARG
41.4611,1901,3,ARG
29.9358,1901,4,ARG
34.4192,1901,5,ARG
33.9085,1901,6,ARG
15.3055,1901,7,ARG
28.4561,1901,8,ARG
25.2438,1901,9,ARG
35.069,1901,10,ARG
48.2167,1901,11,ARG
25.46,1901,12,ARG
55.6266,1902,1,ARG
43.4942,1902,2,ARG
61.4958,1902,3,ARG
31.04,1902,4,ARG
58.7974,1902,5,ARG
30.6572,1902,6,ARG
25.5656,1902,7,ARG
12.2715,1902,8,ARG
17.158,1902,9,ARG
29.1385,1902,10,ARG
46.6236,1902,11,ARG
71.7306,1902,12,ARG
46.3241,1903,1,ARG
64.3361,1903,2,ARG
59.6409,1903,3,ARG
60.9745,1903,4,ARG
28.3416,1903,5,ARG
35.1545,1903,6,ARG
19.3494,1903,7,ARG
24.4329,1903,8,ARG
23.5176,1903,9,ARG
39.3703,1903,10,ARG
47.0927,1903,11,ARG
85.1981,1903,12,ARG
47.8863,1904,1,ARG
53.364,1904,2,ARG
87.0085,1904,3,ARG
39.8204,1904,4,ARG
29.1382,1904,5,ARG
24.4525,1904,6,ARG
43.6132,1904,7,ARG
23.891,1904,8,ARG
36.0162,1904,9,ARG
51.272,1904,10,ARG
58.1346,1904,11,ARG
53.0617,1904,12,ARG
35.4006,1905,1,ARG
38.4946,1905,2,ARG
72.5581,1905,3,ARG
39.0272,1905,4,ARG
48.6761,1905,5,ARG
27.6622,1905,6,ARG
26.2085,1905,7,ARG
24.738,1905,8,ARG
30.9011,1905,9,ARG
73.0406,1905,10,ARG
38.191,1905,11,ARG
57.4826,1905,12,ARG
58.461,1906,1,ARG
32.3566,1906,2,ARG
38.3047,1906,3,ARG
41.7091,1906,4,ARG
22.1499,1906,5,ARG
24.8429,1906,6,ARG
34.1965,1906,7,ARG
23.3419,1906,8,ARG
20.2133,1906,9,ARG
37.5716,1906,10,ARG
41.9809,1906,11,ARG
38.0295,1906,12,ARG
49.5784,1907,1,ARG
46.1908,1907,2,ARG
65.9263,1907,3,ARG
51.4835,1907,4,ARG
21.6526,1907,5,ARG
24.2885,1907,6,ARG
15.2748,1907,7,ARG
19.8215,1907,8,ARG
32.2748,1907,9,ARG
30.4465,1907,10,ARG
35.8989,1907,11,ARG
61.4159,1907,12,ARG
41.3323,1908,1,ARG
31.3619,1908,2,ARG
52.0194,1908,3,ARG
43.3799,1908,4,ARG
45.2966,1908,5,ARG
23.5195,1908,6,ARG
24.0136,1908,7,ARG
14.634,1908,8,ARG
28.3379,1908,9,ARG
40.1094,1908,10,ARG
37.8285,1908,11,ARG
46.2743,1908,12,ARG
38.7201,1909,1,ARG
64.8421,1909,2,ARG
24.535,1909,3,ARG
38.7902,1909,4,ARG
16.5485,1909,5,ARG
17.495,1909,6,ARG
16.5825,1909,7,ARG
19.3371,1909,8,ARG
42.8472,1909,9,ARG
37.0639,1909,10,ARG
43.4884,1909,11,ARG
37.964,1909,12,ARG
59.1895,1910,1,ARG
46.1281,1910,2,ARG
64.9923,1910,3,ARG
50.798,1910,4,ARG
26.2873,1910,5,ARG
25.6201,1910,6,ARG
15.2653,1910,7,ARG
15.7832,1910,8,ARG
21.2946,1910,9,ARG
36.5282,1910,10,ARG
35.3814,1910,11,ARG
43.1025,1910,12,ARG
49.3419,1911,1,ARG
59.8582,1911,2,ARG
30.8993,1911,3,ARG
33.8126,1911,4,ARG
57.7143,1911,5,ARG
12.1207,1911,6,ARG
20.8277,1911,7,ARG
24.2839,1911,8,ARG
25.0141,1911,9,ARG
47.1338,1911,10,ARG
55.6333,1911,11,ARG
80.8457,1911,12,ARG
64.2767,1912,1,ARG
60.3268,1912,2,ARG
43.9028,1912,3,ARG
49.2606,1912,4,ARG
40.8154,1912,5,ARG
30.9622,1912,6,ARG
14.142,1912,7,ARG
24.8223,1912,8,ARG
14.561,1912,9,ARG
38.7091,1912,10,ARG
59.3955,1912,11,ARG
64.8467,1912,12,ARG
30.1142,1913,1,ARG
55.5585,1913,2,ARG
61.11,1913,3,ARG
52.1588,1913,4,ARG
44.3399,1913,5,ARG
20.2813,1913,6,ARG
23.8285,1913,7,ARG
39.8024,1913,8,ARG
32.338,1913,9,ARG
49.0158,1913,10,ARG
56.3278,1913,11,ARG
37.8557,1913,12,ARG
56.4408,1914,1,ARG
61.6753,1914,2,ARG
65.739,1914,3,ARG
76.2231,1914,4,ARG
56.6363,1914,5,ARG
41.2869,1914,6,ARG
41.87,1914,7,ARG
35.4471,1914,8,ARG
28.1213,1914,9,ARG
70.0641,1914,10,ARG
65.2752,1914,11,ARG
70.0873,1914,12,ARG
69.7375,1915,1,ARG
74.5636,1915,2,ARG
56.3998,1915,3,ARG
71.134,1915,4,ARG
41.6523,1915,5,ARG
15.0429,1915,6,ARG
23.6013,1915,7,ARG
17.9821,1915,8,ARG
19.2589,1915,9,ARG
55.5733,1915,10,ARG
35.7624,1915,11,ARG
54.1549,1915,12,ARG
38.1871,1916,1,ARG
51.0153,1916,2,ARG
32.1038,1916,3,ARG
47.1645,1916,4,ARG
45.0517,1916,5,ARG
11.2128,1916,6,ARG
