tas,Year,Month,Country
20.5068,1901,1,ARG
19.735,1901,2,ARG
18.1317,1901,3,ARG
13.5216,1901,4,ARG
11.1601,1901,5,ARG
10.2154,1901,6,ARG
7.99692,1901,7,ARG
9.27753,1901,8,ARG
12.9267,1901,9,ARG
15.7964,1901,10,ARG
17.5532,1901,11,ARG
20.6557,1901,12,ARG
21.0173,1902,1,ARG
20.9362,1902,2,ARG
17.8175,1902,3,ARG
15.5771,1902,4,ARG
11.9015,1902,5,ARG
9.00386,1902,6,ARG
6.77735,1902,7,ARG
6.89955,1902,8,ARG
11.9907,1902,9,ARG
14.5359,1902,10,ARG
17.0997,1902,11,ARG
19.8316,1902,12,ARG
20.1659,1903,1,ARG
19.9313,1903,2,ARG
17.7715,1903,3,ARG
13.3227,1903,4,ARG
10.7337,1903,5,ARG
8.20792,1903,6,ARG
7.52366,1903,7,ARG
8.65353,1903,8,ARG
13.4528,1903,9,ARG
13.929,1903,10,ARG
16.8303,1903,11,ARG
18.8585,1903,12,ARG
20.8368,1904,1,ARG
19.1368,1904,2,ARG
17.1145,1904,3,ARG
15.2957,1904,4,ARG
11.0147,1904,5,ARG
8.70655,1904,6,ARG
8.51353,1904,7,ARG
9.09354,1904,8,ARG
13.0323,1904,9,ARG
14.1054,1904,10,ARG
16.6276,1904,11,ARG
18.8707,1904,12,ARG
20.281,1905,1,ARG
19.0304,1905,2,ARG
18.339,1905,3,ARG
13.7904,1905,4,ARG
9.80547,1905,5,ARG
8.60653,1905,6,ARG
6.48856,1905,7,ARG
9.10487,1905,8,ARG
12.3176,1905,9,ARG
14.2887,1905,10,ARG
17.111,1905,11,ARG
19.1092,1905,12,ARG
20.7944,1906,1,ARG
20.5484,1906,2,ARG
18.8332,1906,3,ARG
14.4778,1906,4,ARG
11.3589,1906,5,ARG
5.88447,1906,6,ARG
7.31096,1906,7,ARG
9.45446,1906,8,ARG
11.5224,1906,9,ARG
15.7142,1906,10,ARG
17.8958,1906,11,ARG
18.7316,1906,12,ARG
21.1677,1907,1,ARG
20.2729,1907,2,ARG
18.0668,1907,3,ARG
13.8176,1907,4,ARG
9.80526,1907,5,ARG
6.56716,1907,6,ARG
7.74773,1907,7,ARG
7.97421,1907,8,ARG
10.7356,1907,9,ARG
14.145,1907,10,ARG
17.5865,1907,11,ARG
19.2483,1907,12,ARG
20.6974,1908,1,ARG
20.1271,1908,2,ARG
18.3978,1908,3,ARG
13.1437,1908,4,ARG
10.4523,1908,5,ARG
9.06892,1908,6,ARG
8.1673,1908,7,ARG
8.1168,1908,8,ARG
11.8695,1908,9,ARG
14.395,1908,10,ARG
16.9601,1908,11,ARG
19.7542,1908,12,ARG
21.4548,1909,1,ARG
19.5517,1909,2,ARG
17.8732,1909,3,ARG
14.6134,1909,4,ARG
9.51869,1909,5,ARG
7.03482,1909,6,ARG
7.13613,1909,7,ARG
10.4245,1909,8,ARG
12.3005,1909,9,ARG
14.1794,1909,10,ARG
16.3323,1909,11,ARG
18.4494,1909,12,ARG
19.9978,1910,1,ARG
19.0757,1910,2,ARG
16.5539,1910,3,ARG
13.1193,1910,4,ARG
10.2852,1910,5,ARG
8.38585,1910,6,ARG
6.88482,1910,7,ARG
9.68495,1910,8,ARG
12.1337,1910,9,ARG
15.3869,1910,10,ARG
18.2407,1910,11,ARG
19.9331,1910,12,ARG
20.8817,1911,1,ARG
19.4818,1911,2,ARG
16.9999,1911,3,ARG
13.1531,1911,4,ARG
10.7198,1911,5,ARG
7.39573,1911,6,ARG
7.92167,1911,7,ARG
8.17428,1911,8,ARG
10.3384,1911,9,ARG
13.9004,1911,10,ARG
17.4487,1911,11,ARG
19.7642,1911,12,ARG
21.2332,1912,1,ARG
20.1462,1912,2,ARG
18.5338,1912,3,ARG
14.408,1912,4,ARG
10.206,1912,5,ARG
8.57189,1912,6,ARG
7.32522,1912,7,ARG
8.60217,1912,8,ARG
12.5988,1912,9,ARG
15.7668,1912,10,ARG
17.3411,1912,11,ARG
21.0727,1912,12,ARG
20.7643,1913,1,ARG
21.1127,1913,2,ARG
17.5114,1913,3,ARG
15.4084,1913,4,ARG
10.9171,1913,5,ARG
8.66227,1913,6,ARG
9.8293,1913,7,ARG
9.35896,1913,8,ARG
12.4607,1913,9,ARG
14.942,1913,10,ARG
18.3824,1913,11,ARG
19.722,1913,12,ARG
21.047,1914,1,ARG
20.2731,1914,2,ARG
17.4256,1914,3,ARG
13.7917,1914,4,ARG
10.6464,1914,5,ARG
9.1011,1914,6,ARG
9.29851,1914,7,ARG
8.5383,1914,8,ARG
10.9073,1914,9,ARG
14.0402,1914,10,ARG
15.3582,1914,11,ARG
18.8836,1914,12,ARG
20.0593,1915,1,ARG
20.1745,1915,2,ARG
16.7037,1915,3,ARG
13.7398,1915,4,ARG
10.6164,1915,5,ARG
5.55552,1915,6,ARG
8.25322,1915,7,ARG
10.1426,1915,8,ARG
11.5937,1915,9,ARG
14.9703,1915,10,ARG
17.7742,1915,11,ARG
19.8968,1915,12,ARG
20.5548,1916,1,ARG
19.7173,1916,2,ARG
16.8928,1916,3,ARG
15.0296,1916,4,ARG
11.3483,1916,5,ARG
4.86873,1916,6,ARG
5.83653,1916,7,ARG
